"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR1";"DISTRIBUTOR2";"GEOMETRY_HEIGHT";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"ORDERCODE-DISTRI1";"ORDERCODE-DISTRI2";"ORDERCODE-MANU1";"PACKAGE";"PARTNUMBER";"PRICE";"PRODUCT_TYPE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SF_ID";"SPICEPREFIX";"VALUE";"VENDOR";
"C9";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C10";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C11";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C12";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C13";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"C14";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"C15";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C16";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"C17";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C18";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"C19";"1.0uF";"1.0UF-1206-50V-10%";"1206";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09822";"";"";"";"";"1.0uF";"";
"C20";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C21";"0.1uF";"C-EU075-052X106";"C075-052X106";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C22";"1uF";"CPOL-US085CS-1AR";"085CS_1AR";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"10uF";"CPOL-US085CS-1AR";"085CS_1AR";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C24";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C25";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C26";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C27";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C28";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C29";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C30";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"4.7uF";"";
"C31";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C32";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C33";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C34";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C35";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C36";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C37";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"C38";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"C39";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08390";"";"";"";"";"0.1uF";"";
"C40";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"C41";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08390";"";"";"";"";"0.1uF";"";
"C42";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"C43";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08390";"";"";"";"";"0.1uF";"";
"C44";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C45";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C46";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C47";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C48";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C49";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C50";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C51";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C52";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"C53";"1800pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C54";"91pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C55";"2200pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C56";"100pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C57";"5600pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C58";"330pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C59";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"0.1uF";"";
"C60";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"0.1uF";"";
"C61";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"0.1uF";"";
"C62";"220pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C63";"220pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C64";"1.0uF";"1.0UF-1206-50V-10%";"1206";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09822";"";"";"";"";"1.0uF";"";
"C65";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"C66";"1.0uF";"1.0UF-1206-50V-10%";"1206";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09822";"";"";"";"";"1.0uF";"";
"C67";"1.0uF";"1.0UF-1206-50V-10%";"1206";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09822";"";"";"";"";"1.0uF";"";
"C68";"1.0uF";"1.0UF-1206-50V-10%";"1206";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09822";"";"";"";"";"1.0uF";"";
"C69";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C70";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"C71";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"0.1uF";"";
"C72";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"0.1uF";"";
"C73";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"C74";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"";"";"";"1.0uF";"";
"C75";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"D4";"MBRS340T3";"MBRS340T3";"SMC";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D6";"1N4002";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D7";"1N4002";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FB1";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-07859";"";"";"";"";"30Ω/1.8A";"";
"FOCUS";"4N35S";"4N35S";"SOT23-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC0";"STM32F313VCT6";"STM32F313VCT6";"QFP50P1600X1600X160-100N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"S1315F8_RAW";"S1315F8_RAW";"S1315F8_SMT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";" TMC262-LA ";"TMC262-LA";"TMC_QFN32_0.5_5.0X5.0";"Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5)";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc262%2F_datasheet%2FTMC262_datasheet_pdf ";" Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5) ";" Digikey ";" Farnell ";" 0,9mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1044-ND ";" 1858307 ";" TMC262-LA ";"";"";"";"";"";"";"";"";"";" TMC262-LA ";"";
"IC3";" TMC262-LA ";"TMC262-LA";"TMC_QFN32_0.5_5.0X5.0";"Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5)";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc262%2F_datasheet%2FTMC262_datasheet_pdf ";" Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5) ";" Digikey ";" Farnell ";" 0,9mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1044-ND ";" 1858307 ";" TMC262-LA ";"";"";"";"";"";"";"";"";"";" TMC262-LA ";"";
"IC4";" TMC262-LA ";"TMC262-LA";"TMC_QFN32_0.5_5.0X5.0";"Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5)";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc262%2F_datasheet%2FTMC262_datasheet_pdf ";" Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5) ";" Digikey ";" Farnell ";" 0,9mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1044-ND ";" 1858307 ";" TMC262-LA ";"";"";"";"";"";"";"";"";"";" TMC262-LA ";"";
"IC5";" TMC424 ";"TMC424";"TMC_TQFP100_0.5_14X14";"Serial triple Incremental Encoder Interface; TQ100";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc424%2F_datasheet%2FTMC424_datasheet_pdf ";" Serial triple Incremental Encoder Interface";" TQ100 ";" Digikey ";" Farnell ";" 1_6mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1046-ND ";"  ";" TMC424 ";"";"";"";"";"";"";"";"";"";" TMC424 ";
"IC6";" TMC429-PI24 ";"TMC429-PI24";"TMC_SO24_SOT137-1_1.27_15.5X7.5";"Intelligent Triple Stepper Motor Controller with SPI, Step/Dir, SOP24";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc429%2F_datasheet%2FTMC429_datasheet_pdf ";" Intelligent Triple Stepper Motor Controller with SPI, Step/Dir, SOP24 ";" Digikey ";" Farnell ";" 2,65mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1058-5-ND ";" 1858309 ";" TMC429-PI24 ";"";"";"";"";"";"";"";"";"";" TMC429-PI24 ";"";
"IC8";"LM317MBSTT3";"LM317MBSTT3";"SOT223";"500 mA Adjustable Output Positive Voltage Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LM317M";"";"";"";"";"";"";"";"";"";
"J1";"POWER_JACKPTH_BREAD";"POWER_JACKPTH_BREAD";"POWER_JACK_PTH_BREAD";"Power Jack Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-10811";"";"";"";"";"";"";
"J2";"";"CONN_05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08671";"";"";"PRT-08506";"";"";"";
"J3";"Motor Coil B";"SCREW-TERMINAL-GREEN(2P-5.0)";"H2-5.0-10.5X8.0MM";"320110031";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GREEN-2P-5.0";"";
"J4";"Motor Coil A";"SCREW-TERMINAL-GREEN(2P-5.0)";"H2-5.0-10.5X8.0MM";"320110031";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GREEN-2P-5.0";"";
"J5";"73100-0114";"73100-0114";"73100-0114";"Molex Right Angle 50ohm";"70357943";"http://www.alliedelec.com/molex-incorporated-73100-0114/70357943/";"73100-0114";"http://uk.rs-online.com/web/p/products/7595252P";"";"";"";"";"Molex Right Angle 50ohm";"";"";"";"mm";"";"Molex";"73100-0114";"";"";"";"";"";"";"";"";"";"";"";"";"7595252P";"http://uk.rs-online.com/web/p/products/7595252P";"";"";"";"";
"J8";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J9";"Motor Coil B";"SCREW-TERMINAL-GREEN(2P-5.0)";"H2-5.0-10.5X8.0MM";"320110031";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GREEN-2P-5.0";"";
